ticker,price,score,points,sma50,sma200,wk52_high,wk52_low,volume
SCLX,6.56,4,"[0, 1, 0, 1, 0, 0, 1, 0, 1, 0]",6.65,7.05,18.68,3.69,104428.65
XWEL,1.09,6,"[0, 1, 1, 1, 1, 0, 1, 0, 1, 0]",1.14,0.97,1.7,0.29,208419.8
SILO,4.32,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",5.65,6.02,12.23,4.19,390178.25
WXM,3.31,2,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",4.01,6.95,39.0,2.75,127900.5
AEMD,0.67,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1.31,2.53,21.9,0.53,153212.85
NVDA,211.94,9,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1]",205.65,193.22,235.47,164.98,129503104.9
GOOGL,377.65,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",358.18,327.25,402.38,194.12,31175746.95
GOOG,375.35,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",356.25,326.47,398.8,194.76,20546031.35
AAPL,309.38,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",309.61,278.25,340.08,202.12,56004747.3
AMZN,277.42,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",247.19,235.66,284.02,198.79,49537990.45
AVGO,418.16,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",394.62,365.49,480.81,287.49,20424404.35
TSM,417.17,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",425.37,357.13,477.57,224.84,14950670.1
TSLA,327.35,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",387.05,410.52,489.88,298.32,39961113.8
WMT,111.55,5,"[0, 0, 0, 0, 1, 1, 0, 1, 1, 1]",115.04,117.71,134.2,95.48,21308543.75
LLY,1115.68,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",1150.85,1025.73,1235.56,621.26,2391463.25
MU,892.67,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",969.32,524.65,1213.37,108.61,46071502.75
AMD,518.58,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",514.33,314.56,580.91,151.14,27992417.0
INTC,100.86,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",111.9,67.63,140.94,19.77,116077174.55
XOM,153.96,9,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",146.34,138.48,170.31,102.56,14582499.9
ASML,1711.89,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",1753.35,1394.69,1986.87,685.12,1973736.55
ORCL,145.74,2,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",162.71,180.39,324.63,114.99,38741741.35
JNJ,254.93,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",246.14,225.46,267.24,166.43,8082225.0
CAT,876.54,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",918.12,738.85,1062.93,404.15,3138106.1
CSCO,121.74,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",117.52,89.38,129.52,64.86,20738197.25
LRCX,317.74,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",338.2,242.44,433.33,95.41,11533091.5
CVX,190.4,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",182.77,173.79,209.23,144.01,7555727.9
AMAT,546.62,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",547.8,376.07,723.0,155.56,8090354.5
UNH,407.55,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",410.64,342.06,436.35,238.29,5466048.35
BABA,128.99,4,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 1]",113.59,139.6,187.62,94.81,12430852.2
GE,377.28,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",347.81,315.17,378.68,264.59,3921753.7
HSBC,106.04,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",97.05,83.89,107.86,59.13,1372900.25
MS,217.04,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",213.88,182.95,227.3,137.35,5972920.4
AZN,155.62,3,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0]",177.89,183.87,208.62,144.68,3910239.85
GEV,1018.53,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",1023.8,839.65,1174.86,546.95,2879710.8
GS,1052.98,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1051.14,913.5,1152.07,701.82,2016477.05
MRK,128.0,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",123.14,110.83,131.82,75.83,8565788.25
NVS,153.27,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",152.65,144.43,163.64,110.15,1788305.15
TXN,283.63,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",295.71,225.26,330.59,150.79,8158561.85
RY,208.54,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",202.4,173.18,216.57,129.07,1394274.2
KLAC,195.45,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",221.46,163.14,301.71,84.03,12222455.1
RTX,217.93,9,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",192.12,187.51,218.58,150.03,5123020.5
SNDK,1427.62,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",1704.83,855.31,2335.0,40.69,16351234.95
QCOM,162.67,4,"[0, 0, 0, 1, 0, 1, 1, 0, 1, 0]",196.33,167.84,250.1,123.61,13229550.65
ARM,280.56,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",323.94,190.78,439.46,104.55,6454858.5
C,136.87,7,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 0]",134.9,117.96,,,12420361.0
BHP,87.46,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",84.83,71.77,93.15,50.14,2446063.25
ADI,380.29,9,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",396.65,331.35,445.48,217.76,3914122.9
NVO,44.28,2,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",46.87,45.87,61.72,34.76,11246930.65
MUFG,21.83,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",20.83,18.01,23.1,13.98,3638679.25
TTE,85.19,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",83.6,76.88,93.6,55.92,1729024.5
NEE,87.2,6,"[1, 0, 1, 0, 1, 1, 0, 1, 1, 0]",87.17,86.87,97.17,68.33,10316156.85
BA,237.16,9,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",219.48,218.59,252.15,179.12,6002000.4
TD,119.39,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",117.78,99.02,124.8,71.8,3082994.85
SAN,14.47,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",13.31,11.89,14.47,8.59,9906779.8
RIO,99.01,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",97.54,88.62,112.04,56.7,2963877.3
ANET,190.51,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",168.31,146.31,190.51,116.13,7684992.9
STX,845.35,9,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",892.39,523.79,1093.26,146.06,5598739.25
DELL,467.27,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",406.48,216.53,467.27,110.54,6619184.8
PANW,366.34,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",309.55,215.81,366.34,141.67,6479275.45
WDC,548.56,8,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 1]",563.86,335.93,746.23,73.58,7376418.5
GILD,135.25,7,"[1, 1, 1, 0, 1, 1, 0, 1, 1, 0]",129.59,130.67,153.91,107.48,6474828.1
GLW,159.89,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",181.14,135.66,255.69,62.49,13904825.4
BUD,84.59,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",81.6,72.06,86.48,57.08,1728273.05
APP,419.7,2,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",487.77,518.45,733.6,366.91,6219616.1
APH,171.33,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",155.57,142.18,176.32,107.2,7054999.0
DE,617.37,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",590.75,546.97,658.85,435.19,1043706.2
SCCO,195.16,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",181.62,168.15,215.55,88.97,1158221.3
WELL,231.57,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",224.58,203.93,252.07,160.13,2884152.8
MRVL,218.59,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",240.11,136.18,316.35,62.18,24360579.1
IBKR,88.63,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",90.45,76.1,97.41,59.96,4281544.15
COP,117.94,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",113.5,107.1,132.81,83.6,6225307.25
PLD,139.05,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",143.48,133.99,150.06,100.81,4921913.9
UBS,53.46,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",50.35,43.49,55.07,35.49,1957445.7
SMFG,24.86,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",24.46,21.02,26.5,15.19,1873056.25
CRWD,211.22,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",183.18,133.5,211.22,87.56,8378194.35
VRT,269.93,6,"[0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",303.6,247.12,376.15,121.69,6270520.75
BTI,59.12,7,"[0, 1, 1, 1, 1, 1, 0, 1, 1, 0]",60.59,57.35,65.79,48.34,4115270.05
BBVA,28.12,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",24.76,22.49,28.36,16.45,1327434.15
NEM,97.73,5,"[0, 0, 0, 0, 1, 1, 1, 0, 1, 1]",98.34,103.96,131.38,66.53,7062279.7
PBR,18.72,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",17.81,16.17,21.86,11.39,15061554.7
PBR-A,16.53,9,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",15.9,14.82,19.73,10.67,6471079.0
SBUX,104.97,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",102.3,94.43,108.37,76.95,7964576.0
CVS,104.42,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",101.06,83.67,109.92,61.47,7606730.55
BMY,65.89,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",58.05,54.78,65.89,41.21,12562698.7
BP,42.44,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",41.29,39.3,47.09,31.56,8000516.7
PWR,693.0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",679.96,563.71,785.12,372.18,1149672.5
PH,992.65,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",935.02,907.36,1020.71,691.12,561088.45
HWM,288.2,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",270.4,237.12,289.26,170.73,1948284.6
BMO,179.79,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",171.8,144.3,182.37,110.31,809230.4
EQIX,1051.53,9,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1053.07,927.7,1115.94,718.6,546522.65
MFG,10.34,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",9.9,8.44,10.66,5.98,4287793.3
TT,472.24,8,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0]",470.01,439.02,503.46,374.67,1304830.7
CM,117.95,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",114.34,99.31,121.24,70.9,1060015.0
CDNS,340.62,7,"[0, 1, 1, 1, 1, 1, 0, 1, 1, 0]",370.68,327.76,416.39,265.66,2378820.45
GSK,51.53,6,"[0, 0, 1, 0, 1, 1, 1, 1, 1, 0]",51.7,51.13,60.14,35.42,4672437.4
SNPS,403.86,2,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",441.95,449.05,628.5,372.33,1981906.3
AEM,150.61,3,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1]",156.9,182.33,251.57,129.02,2406621.3
HCA,400.73,2,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",387.18,455.83,543.23,360.6,1797301.25
BNS,87.13,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",84.76,74.88,90.29,55.07,2138833.3
CMI,635.96,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",668.26,579.48,727.59,367.35,982916.1
MAR,345.2,7,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 0]",377.97,335.03,402.54,255.71,1610766.25
CNQ,46.18,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",43.72,39.98,49.57,28.74,7430134.0
EQNR,39.17,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",36.04,31.04,41.97,21.89,4066050.5
ITUB,8.19,5,"[1, 0, 1, 0, 1, 1, 0, 0, 1, 0]",8.06,7.84,,,18575427.75
FDX,313.34,9,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",319.93,275.89,337.48,175.79,1554880.35
FCX,67.3,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",63.64,57.1,71.55,34.96,14577251.85
USB,64.23,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",59.75,54.02,64.47,42.4,8252757.05
JCI,153.62,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",142.55,130.62,153.62,102.92,3523860.95
ING,35.34,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",31.81,28.09,35.35,22.52,2437908.75
FTNT,168.29,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",151.11,101.37,168.29,74.39,5526517.8
MNST,94.18,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",93.77,80.85,99.94,59.04,5599919.15
