ticker,price,score,points,sma50,sma200,wk52_high,wk52_low,volume
NVDA,212.5,9,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1]",209.5,191.95,235.47,164.98,144043093.25
GOOGL,370.92,9,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",371.89,320.28,402.38,182.45,34263894.2
GOOG,370.21,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",369.14,319.58,398.8,183.25,22826316.9
AAPL,327.5,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",300.5,273.09,327.5,201.58,65221181.55
AMZN,254.96,9,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1]",253.1,233.79,274.99,198.79,60689465.55
AVGO,394.28,9,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",404.48,362.05,480.81,276.56,27405649.15
TSM,419.48,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",424.91,349.01,477.57,224.84,14846506.9
TSLA,394.46,4,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",410.0,417.61,489.88,302.63,43075053.2
WMT,112.53,4,"[0, 0, 0, 0, 1, 1, 0, 1, 1, 0]",120.26,117.08,134.2,94.26,23111131.0
LLY,1156.63,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1101.29,1000.44,1235.56,621.26,3075200.6
MU,904.28,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",923.86,476.0,1213.37,104.71,52427638.45
AMD,529.14,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",493.09,293.31,580.91,151.14,29125358.4
INTC,102.99,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",117.5,63.56,140.94,19.31,117266307.8
XOM,144.51,9,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",146.12,135.49,170.31,102.56,17383698.8
ASML,1815.27,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",1704.41,1346.15,1989.44,686.0,2182946.95
ORCL,132.49,2,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",180.38,191.75,324.63,127.94,36724033.25
JNJ,247.02,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",237.2,220.38,267.24,159.01,9071370.35
CAT,914.3,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",929.44,714.45,1064.9,404.9,3862548.95
CSCO,111.77,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",114.9,86.13,129.52,64.86,25462890.3
LRCX,335.43,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",334.12,231.06,433.33,94.32,14018740.2
CVX,181.6,8,"[0, 1, 1, 1, 1, 1, 0, 1, 1, 1]",181.76,170.86,209.23,143.66,9632415.05
AMAT,579.43,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",519.71,354.41,723.0,155.56,12513452.35
UNH,418.52,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",399.31,336.98,431.68,231.57,5975852.1
BABA,117.69,2,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",118.46,143.57,187.62,94.81,15124638.25
GE,360.35,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",330.8,311.19,378.68,257.69,4957954.7
HSBC,100.46,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",93.23,81.32,100.46,58.43,1268761.4
MS,228.55,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",209.2,179.82,228.55,136.5,6337237.05
AZN,168.37,4,"[0, 0, 0, 0, 1, 1, 0, 1, 1, 0]",182.53,183.59,208.62,135.08,2601367.3
GEV,1055.28,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1037.5,812.01,1174.86,546.95,2972357.95
