ticker,price,score,points,sma50,sma200,wk52_high,wk52_low,volume
INN,7.07,9,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",5.62,4.98,7.07,3.97,2143657.15
PKE,33.88,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",33.65,25.44,36.41,14.31,440751.5
STRO,30.52,8,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 1]",32.08,18.55,40.91,6.8,389487.7
TLRY,4.64,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",5.59,8.96,21.0,4.0,3616235.55
SHBI,23.29,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",20.36,18.19,23.29,14.75,255328.0
EVC,12.03,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",7.59,3.95,12.03,1.91,2058272.65
ZVRA,13.52,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",11.28,9.7,13.66,7.23,1977615.2
CARS,10.75,6,"[1, 1, 0, 0, 0, 0, 1, 1, 1, 1]",10.3,10.85,13.79,7.58,766936.7
CLYM,13.08,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10.74,5.76,13.08,1.18,1550985.55
CWBC,26.9,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",24.33,22.84,26.9,18.3,558552.5
RMR,20.89,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",19.38,16.12,21.37,13.34,156094.2
SPIR,16.29,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",18.63,12.76,25.48,7.02,1558943.95
SWBI,15.23,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",15.08,11.9,16.67,7.47,1106777.8
ARVN,8.0,3,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0]",9.02,10.67,13.83,6.24,836612.4
AVR,9.69,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",7.91,5.85,10.4,2.9,1370182.65
NKLR,4.73,3,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0]",5.86,4.73,18.26,3.91,310803.1
VTEX,4.04,7,"[1, 1, 1, 1, 0, 0, 1, 0, 1, 1]",3.76,3.85,6.76,2.87,2063145.85
MRAM,21.75,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",24.8,13.71,44.01,5.94,2629019.65
CABA,3.04,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",3.33,2.79,4.15,1.33,5475942.15
KE,24.5,2,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",25.79,27.31,33.13,18.26,189588.45
CNNE,14.49,4,"[1, 1, 0, 0, 0, 0, 1, 0, 1, 0]",13.69,14.69,21.04,10.53,473130.8
PSNL,13.02,9,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",8.27,8.21,13.02,4.41,3641446.05
CCSI,36.72,9,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",30.69,26.77,36.72,19.66,165238.7
ANGX,3.21,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 1]",2.84,3.21,16.0,2.18,1131845.75
NPCE,16.47,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",16.36,14.44,19.29,8.25,179406.75
RGR,38.33,6,"[0, 1, 0, 1, 0, 1, 1, 1, 1, 0]",40.04,38.38,46.84,28.67,140589.3
