ticker,price,score,points,sma50,sma200,wk52_high,wk52_low,volume
INN,6.57,9,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",5.45,4.95,6.63,3.97,2156506.15
PKE,33.3,9,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",33.61,25.17,36.41,13.46,429300.45
STRO,31.55,9,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",31.9,18.15,40.91,6.8,308609.1
TLRY,4.59,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",5.77,9.1,21.0,3.6,3640840.55
SHBI,22.07,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",20.07,18.07,22.81,14.6,216077.9
EVC,9.87,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",6.95,3.77,9.93,1.91,2187018.0
ZVRA,12.65,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",11.01,9.61,13.66,7.23,2151746.7
CARS,9.89,3,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 1]",10.27,10.91,13.79,7.58,816993.8
CLYM,12.18,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",10.42,5.56,12.22,1.18,1259346.75
CWBC,25.31,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",24.13,22.73,25.75,18.15,418470.6
RMR,20.4,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",19.0,16.02,21.37,13.34,141473.55
SPIR,17.27,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",19.01,12.61,25.48,7.02,1821474.5
SWBI,16.45,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",14.98,11.75,16.45,7.47,969650.85
ARVN,7.74,3,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0]",9.24,10.66,13.83,6.24,743522.6
AVR,9.59,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",7.59,5.74,9.78,2.9,1273526.65
NKLR,4.9,3,"[0, 0, 0, 1, 1, 0, 0, 0, 1, 0]",5.91,4.9,18.26,3.91,335046.2
VTEX,3.58,2,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",3.78,3.85,6.76,2.87,1506608.7
MRAM,25.53,8,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 0]",23.95,13.41,44.01,5.94,3335954.4
CABA,3.01,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",3.35,2.76,4.15,1.33,4440066.5
KE,25.97,6,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 1]",25.91,27.42,33.13,18.26,190506.4
CNNE,13.33,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",13.57,14.76,21.04,10.53,456595.95
PSNL,10.17,9,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",7.84,8.08,12.1,4.41,3142519.05
CCSI,33.17,9,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",29.85,26.61,35.51,19.66,163048.3
ANGX,3.08,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 1]",2.77,3.08,16.0,2.18,1109522.9
NPCE,15.37,7,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 0]",16.26,14.31,19.29,8.25,142881.3
RGR,40.49,9,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",40.25,38.3,46.84,28.67,122731.75
TDUP,5.91,5,"[1, 1, 0, 0, 0, 0, 1, 0, 1, 1]",4.57,6.24,12.08,3.11,1981306.8
