ticker,price,score,points,sma50,sma200,wk52_high,wk52_low,volume
NVDA,217.5,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",206.25,194.17,235.47,164.98,125511897.75
GOOGL,343.8,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",355.1,329.83,402.38,198.75,33213673.6
GOOG,343.0,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",353.42,328.99,398.8,199.62,21862132.2
AAPL,304.91,6,"[0, 1, 1, 1, 1, 1, 0, 0, 1, 0]",309.3,279.36,,,56306943.15
AMZN,272.27,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",247.62,237.09,284.02,198.79,50087031.25
AVGO,416.08,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",394.16,367.38,480.81,287.49,18322444.4
TSM,422.06,9,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",425.66,360.27,477.57,224.84,14678155.65
TSLA,332.81,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",376.16,407.71,489.88,298.32,38990398.05
WMT,113.26,4,"[0, 0, 0, 0, 1, 1, 0, 1, 1, 0]",114.44,117.86,134.2,95.48,22067179.9
LLY,1215.02,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1161.85,1035.59,1235.56,634.94,2735084.65
MU,868.52,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",967.57,541.51,1213.37,115.6,45135541.45
AMD,474.32,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",512.28,320.67,580.91,151.14,29667227.1
INTC,97.71,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",109.84,69.18,140.94,21.81,118302702.95
XOM,159.8,9,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",147.03,139.62,170.31,102.85,14360589.5
ASML,1799.38,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1765.06,1412.5,1986.87,721.1,1863233.4
ORCL,145.48,2,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]",157.29,176.97,324.63,114.99,34493112.0
JNJ,259.8,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",249.04,227.2,267.24,168.57,8027237.95
CAT,843.37,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",914.07,747.01,1062.93,404.15,3171247.35
CSCO,120.43,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",117.75,90.68,129.52,64.86,19987387.7
LRCX,311.41,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",337.41,246.59,433.33,96.5,11077500.45
CVX,196.66,9,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",183.37,174.83,209.23,144.01,7818105.25
AMAT,525.61,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",556.07,383.7,723.0,155.56,7355785.65
UNH,402.19,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",413.31,343.39,436.35,254.75,5394383.0
BABA,127.85,4,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 1]",113.83,138.67,187.62,94.81,9936801.35
GE,368.06,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",353.48,316.97,381.22,264.59,3820070.0
HSBC,103.21,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",98.02,84.88,107.86,61.32,1423667.2
MS,215.07,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",215.24,184.44,227.3,140.85,5806579.5
AZN,158.75,4,"[0, 0, 0, 0, 1, 1, 0, 1, 1, 0]",175.36,183.74,208.62,145.54,3866637.4
GEV,1011.88,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",1021.97,849.95,1174.86,546.95,2793400.0
GS,1034.41,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",1055.18,920.9,1152.07,701.82,2006498.9
MRK,130.42,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",124.14,111.96,131.82,75.83,8587556.65
