ticker,price,score,points,sma50,sma200,wk52_high,wk52_low,volume
NVDA,217.55,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",206.12,193.98,235.47,164.98,126550168.65
GOOGL,357.52,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",355.83,329.37,402.38,198.75,32686870.25
GOOG,355.84,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",354.08,328.54,398.8,199.62,21485660.75
AAPL,308.26,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",309.7,279.36,340.08,224.27,56342829.05
AMZN,278.09,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",247.59,236.82,284.02,198.79,50055352.35
AVGO,422.4,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",394.76,367.0,480.81,287.49,18682375.6
TSM,418.47,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",425.57,359.6,477.57,224.84,14906223.45
TSLA,330.88,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",378.22,408.24,489.88,298.32,38963618.8
WMT,112.66,4,"[0, 0, 0, 0, 1, 1, 0, 1, 1, 0]",114.49,117.83,134.2,95.48,21909413.75
LLY,1231.94,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1159.65,1033.56,1235.56,630.76,2789112.55
MU,861.0,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",969.62,538.15,1213.37,115.6,45132535.2
AMD,469.56,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",513.11,319.45,580.91,151.14,29842455.1
INTC,97.52,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",110.18,68.88,140.94,20.65,114609432.6
XOM,159.79,9,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",146.74,139.39,170.31,102.56,14315427.9
ASML,1733.48,9,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1761.29,1408.53,1986.87,716.59,1916044.75
ORCL,151.05,3,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 1]",158.88,177.6,324.63,114.99,35818973.15
JNJ,261.81,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",248.35,226.85,267.24,168.57,8127627.7
CAT,837.58,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",914.69,745.35,1062.93,404.15,3146566.5
CSCO,122.57,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",117.74,90.43,129.52,64.86,20268103.05
LRCX,306.4,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",337.54,245.74,433.33,96.5,11267414.0
CVX,194.91,9,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",183.09,174.6,209.23,144.01,7478058.7
AMAT,522.12,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",554.56,382.17,723.0,155.56,7361270.15
UNH,408.74,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",412.83,343.15,436.35,245.79,5430572.3
BABA,132.32,4,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 1]",113.73,138.85,187.62,94.81,10002584.65
GE,366.7,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",352.59,316.61,381.22,264.59,3921693.95
HSBC,103.32,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",97.83,84.69,107.86,61.2,1453089.8
MS,215.33,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",215.08,184.14,227.3,140.69,6070191.55
AZN,161.91,4,"[0, 0, 0, 0, 1, 1, 0, 1, 1, 0]",175.9,183.78,208.62,145.54,3909252.5
GEV,990.85,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",1021.09,847.76,1174.86,546.95,2800006.45
GS,1034.51,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",1054.91,919.4,1152.07,701.82,2078517.5
MRK,130.92,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",123.89,111.74,131.82,75.83,8751073.0
NVS,156.79,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",152.98,144.99,163.64,115.05,1709851.15
TXN,280.44,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",292.94,227.4,330.59,150.79,8042771.2
RY,210.79,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",204.23,174.52,216.57,131.73,1383843.3
KLAC,192.74,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",221.43,164.78,301.71,84.03,12128431.55
RTX,224.12,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",195.74,188.77,224.12,150.03,5321649.7
SNDK,1237.92,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",1680.02,877.69,2335.0,43.37,16874275.7
QCOM,162.17,4,"[0, 0, 0, 1, 0, 1, 1, 0, 1, 0]",190.09,167.81,250.1,123.61,12913396.55
ARM,267.85,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",320.86,192.95,439.46,104.55,6195934.05
C,135.22,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",135.74,118.75,144.93,90.4,12262737.65
BHP,90.61,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",85.06,72.46,93.15,51.13,2502783.0
ADI,383.92,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",394.26,334.15,445.48,221.1,3941216.9
NVO,47.73,7,"[1, 1, 1, 1, 0, 0, 1, 1, 1, 0]",47.0,45.73,61.72,34.76,12758918.0
MUFG,22.24,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",21.1,18.15,23.1,14.49,3452745.65
TTE,87.96,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",83.39,77.41,93.6,55.92,1733110.45
NEE,84.7,4,"[0, 0, 0, 0, 1, 1, 0, 1, 1, 0]",87.0,86.92,97.17,68.33,10621286.3
BA,232.79,8,"[1, 1, 1, 0, 1, 1, 0, 1, 1, 1]",220.45,218.99,252.15,179.12,6273578.55
TD,121.08,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",118.54,99.88,124.8,71.8,2535686.3
SAN,14.69,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",13.49,11.99,14.7,9.21,11737230.75
RIO,101.91,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",97.14,89.3,112.04,58.72,2729560.8
ANET,191.52,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",171.27,147.25,197.31,116.13,7852376.85
STX,800.99,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",890.32,535.93,1093.26,150.45,5713180.45
DELL,457.88,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",418.31,222.63,467.27,110.54,6383043.35
PANW,385.04,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",318.5,218.97,385.04,141.67,6157423.8
WDC,438.34,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",559.33,342.67,746.23,74.44,8414367.95
GILD,133.06,7,"[1, 0, 1, 0, 1, 1, 0, 1, 1, 1]",129.48,130.92,153.91,108.5,6956793.55
GLW,157.76,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",178.63,137.15,255.69,63.82,14457098.0
BUD,83.09,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",81.69,72.52,86.48,57.08,1734504.85
APP,339.0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",473.29,514.03,733.6,335.67,7057665.9
APH,167.7,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",157.99,143.07,176.32,107.91,6929777.95
DE,609.28,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",597.46,550.15,658.85,435.19,1042337.85
SCCO,200.11,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",181.21,164.88,215.54,89.7,1250747.35
WELL,235.04,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",226.31,205.19,252.07,160.13,3089006.55
MRVL,208.56,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",240.93,138.69,316.35,62.18,23714520.15
IBKR,90.66,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",90.96,76.53,97.41,59.96,4983398.7
COP,123.03,9,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",113.6,107.77,132.81,83.6,6357573.35
PLD,138.76,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",143.04,134.34,150.06,100.81,5668932.1
UBS,53.96,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",50.86,43.81,55.07,35.49,1933252.9
SMFG,25.32,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",24.7,21.22,26.5,15.2,1766793.8
CRWD,225.16,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",187.06,135.31,225.16,87.56,8293130.45
VRT,270.1,6,"[0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",299.81,249.09,376.15,121.69,6405069.1
BTI,57.05,5,"[0, 0, 0, 1, 1, 1, 0, 1, 1, 0]",60.21,57.54,65.79,48.34,4200976.7
BBVA,28.35,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",25.18,22.68,28.36,17.1,1528145.95
NEM,117.26,9,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",98.45,104.32,131.38,66.67,7747427.4
PBR,18.33,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",17.74,16.31,21.86,11.39,14467010.8
PBR-A,16.44,9,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",15.85,14.93,19.73,10.67,6333540.5
SBUX,104.65,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",102.58,94.87,108.37,76.95,7971847.4
CVS,95.67,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",101.46,84.01,109.92,62.88,8551040.2
BMY,64.84,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",58.61,55.22,65.89,41.21,12785418.05
BP,42.88,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",41.24,39.5,47.09,31.56,7854170.05
PWR,660.86,9,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",675.05,568.39,785.12,372.18,1146455.8
PH,1060.5,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",950.15,913.67,1073.87,712.17,668311.7
HWM,283.71,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",272.48,238.89,291.28,170.64,2136244.2
BMO,181.91,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",173.44,145.46,182.37,110.86,734369.95
EQIX,1043.38,9,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1051.03,932.57,1115.94,718.6,597147.65
MFG,10.46,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",10.02,8.52,10.71,6.09,3819599.05
TT,476.99,8,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 0]",472.08,440.3,503.46,374.67,1329780.7
CM,119.29,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",114.77,100.1,121.24,71.53,921266.55
CDNS,331.91,6,"[0, 1, 1, 1, 1, 0, 0, 1, 1, 0]",367.54,327.93,416.39,265.66,2468317.55
GSK,52.16,7,"[1, 0, 1, 0, 1, 1, 1, 1, 1, 0]",51.76,51.32,60.14,36.35,4684754.45
SNPS,411.68,2,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",433.32,448.22,625.8,372.33,1997448.6
AEM,180.48,5,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 1]",156.6,182.31,251.57,129.02,2859023.45
HCA,414.03,4,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1]",388.9,455.55,543.23,360.6,1669452.0
BNS,88.56,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",85.49,75.38,90.29,55.54,2222036.25
CMI,634.82,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",666.83,584.11,727.59,382.19,1042075.05
MAR,348.44,7,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 0]",376.14,336.93,402.54,255.71,1727759.25
CNQ,47.25,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",43.68,40.31,49.57,28.74,6799456.95
EQNR,40.99,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",36.19,31.38,41.97,21.89,3942000.7
ITUB,7.88,6,"[0, 0, 1, 0, 1, 1, 1, 1, 1, 0]",8.08,7.87,9.38,5.91,18394948.55
FDX,325.08,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",319.37,278.43,337.48,177.19,1461448.35
FCX,70.51,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",64.09,57.67,71.55,34.96,14200713.2
USB,64.19,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",60.52,54.4,64.47,42.85,8301512.75
JCI,150.7,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",143.75,131.49,154.55,102.92,3607981.45
ING,35.24,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",32.19,28.33,35.92,22.95,2457359.65
FTNT,164.21,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",153.56,102.93,168.29,74.57,5605005.35
MNST,91.43,9,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",91.53,79.32,99.94,61.73,6142766.8
CSX,50.12,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",48.66,41.57,53.23,31.73,14154808.0
AMX,23.89,6,"[0, 0, 1, 1, 1, 1, 0, 1, 1, 0]",25.58,23.86,27.42,18.64,2257925.8
ELV,397.7,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",396.01,350.0,426.79,277.89,1460404.7
BCS,27.98,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",26.5,23.98,28.24,18.92,5485625.15
SLB,53.2,9,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",50.11,46.97,58.01,31.12,12823612.2
MPWR,1381.1,9,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1415.71,1218.25,1687.32,791.97,929705.65
LYG,6.12,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",5.82,5.34,6.28,4.17,16280050.3
E,54.87,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",50.91,45.94,56.97,33.26,395488.05
CIEN,387.7,6,"[0, 0, 1, 1, 1, 1, 1, 0, 1, 0]",442.19,358.24,627.0,86.64,2039708.6
APO,132.02,8,"[1, 1, 1, 1, 0, 0, 1, 1, 1, 1]",125.42,126.44,151.44,99.88,4039311.8
CRH,100.6,2,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]",104.45,112.92,130.44,95.01,4443145.7
SU,62.73,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",60.73,55.24,69.27,37.63,4398442.25
REGN,808.05,9,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",660.44,714.5,810.08,542.96,813186.6
NXPI,233.43,4,"[0, 0, 0, 1, 1, 1, 0, 0, 1, 0]",280.19,240.43,331.55,181.81,4545685.15
BE,210.63,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",251.93,182.06,345.85,37.65,17673010.95
ROST,254.82,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",232.4,204.81,255.23,143.75,2076903.15
B,40.88,7,"[1, 0, 0, 0, 1, 1, 1, 1, 1, 1]",38.47,41.2,52.32,22.33,9678307.4
