ticker,price,score,points,sma50,sma200,wk52_high,wk52_low,volume
NVDA,208.76,8,"[0, 1, 1, 1, 1, 1, 0, 1, 1, 1]",209.38,192.61,235.47,164.98,133816730.75
GOOGL,317.69,6,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 0]",365.97,323.24,402.38,188.59,34367558.35
GOOG,318.34,6,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 0]",363.56,322.52,398.8,189.41,23143217.7
AAPL,321.66,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",305.47,275.28,333.74,201.58,64339081.1
AMZN,233.66,5,"[0, 0, 0, 1, 1, 1, 0, 1, 1, 0]",249.9,234.53,274.99,198.79,54625169.2
AVGO,392.47,9,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",399.74,363.59,480.81,286.54,22690696.3
TSM,415.58,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",425.54,352.96,477.57,224.84,15119095.7
TSLA,319.69,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",404.97,415.41,489.88,302.63,42857293.55
WMT,108.4,4,"[0, 0, 0, 0, 1, 1, 0, 1, 1, 0]",118.08,117.37,134.2,95.48,22765834.25
LLY,1185.87,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1125.19,1012.16,1235.56,621.26,2845537.6
MU,990.21,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",952.2,498.24,1213.37,104.71,48957195.55
AMD,539.69,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",507.01,304.09,580.91,151.14,28198444.4
INTC,100.23,7,"[0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",115.83,65.48,140.94,19.31,106799526.15
XOM,156.89,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",146.37,136.68,170.31,102.56,15463354.9
ASML,1803.0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1737.01,1369.95,1989.44,686.0,2057586.45
