ticker,price,score,points,sma50,sma200,wk52_high,wk52_low,volume
TCBI,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,107.52,76.77,418702.15
TPC,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,99.01,58.56,406133.9
ENVA,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,265.45,104.01,270726.95
PLUG,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,4.14,1.51,54434410.1
HNGE,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,92.85,31.17,1736341.4
WHD,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,73.57,33.05,653759.75
PTEN,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,13.15,4.96,7659223.8
SMR,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,53.43,7.59,33730871.0
CMBT,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,19.49,8.53,1090696.55
CNO,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,,,795686.05
BETA,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,36.8,13.59,2305407.95
CNR,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,113.0,71.85,485340.1
BLLN,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,149.97,64.03,598433.7
ZETA,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,32.68,14.55,6821237.6
NVTS,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,31.79,5.89,12315509.05
FHI,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,65.39,46.07,522528.8
COLD,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,16.25,9.61,3285430.5
LMND,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,96.57,47.38,939637.25
AMRX,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,19.1,9.6,1640920.65
LPL,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,5.76,2.79,2399210.25
TREX,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,62.27,30.13,1387460.6
DOO,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,81.22,50.79,324542.2
MTRN,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,297.21,110.92,272491.2
XMTR,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,104.85,36.1,483841.75
NP,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,35.11,17.14,392808.1
LASR,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,84.95,28.04,1300280.1
CAAP,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,29.21,16.83,245432.95
TNL,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,78.45,56.68,605697.45
PVH,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,98.72,60.81,1058303.75
LBTYA,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,13.03,9.69,1959302.25
CRGY,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,14.27,7.53,5283620.9
COCO,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,84.02,38.99,966598.4
POWI,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,86.99,30.39,756003.95
LEU,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,436.0,146.61,625538.8
ANDG,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,57.45,18.34,603357.5
KTB,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,87.53,56.22,711156.2
MRX,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,78.27,27.85,750159.8
ARIS,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,22.68,9.09,1356048.2
DLO,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,15.78,10.83,2755230.95
GFF,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,106.98,66.11,293483.3
TDW,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,100.61,47.29,585760.7
OPLN,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,42.9,24.49,1423547.75
KAI,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,346.52,246.63,137664.7
BBWI,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,26.71,14.41,6958406.05
TVTX,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,67.52,22.77,1249526.85
CRNX,84.95,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",52.28,45.68,84.95,32.61,8082763.4
LIVN,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,85.32,49.57,570184.4
NVST,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,30.26,18.95,2125103.7
ACMR,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,126.89,29.67,874065.8
UCTT,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,142.59,21.65,962731.75
HGV,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,54.69,36.99,907154.4
PII,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,73.91,46.92,778706.05
SKE,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,38.12,15.54,547376.65
EE,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,42.6,23.55,361067.75
ORKA,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,113.08,14.9,787340.2
RNG,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,76.36,24.69,1395312.7
CATY,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,64.53,43.96,377442.35
ACAD,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,30.57,20.06,1396275.4
DAN,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,38.62,17.84,1377716.25
EWTX,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,48.35,13.7,1061699.35
TAC,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,17.53,11.69,1835759.2
SOUN,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,21.4,5.7,24832411.1
JOE,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,72.27,46.43,194370.0
HP,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,47.64,19.96,1252251.5
INDB,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,87.17,62.86,267638.05
FG,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,33.99,20.28,562021.65
BB,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,12.81,3.15,9076034.3
PPTA,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,37.22,16.9,1067733.4
LRN,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,161.08,61.02,643372.05
BULL,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,15.55,4.63,18775129.95
BELFB,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,332.96,134.24,150839.45
WSFS,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,82.09,49.8,317889.0
LQDA,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,91.03,21.8,1382956.1
ALHC,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,24.56,12.78,4150518.35
AAUC,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,32.01,14.66,494299.2
CGAU,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,24.25,8.97,1466451.15
OII,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,54.11,22.2,854569.35
VKTX,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,42.13,23.09,1823036.0
CLSK,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,23.2,8.18,18546702.85
SII,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,165.32,68.56,175508.3
VECO,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,83.04,25.34,523832.95
RUM,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,10.23,4.67,4392682.65
WRBY,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,30.34,16.49,2233993.95
TLX,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,12.42,6.41,187928.3
RXO,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,29.3,10.48,1469223.85
BTE,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,5.3,2.19,14145657.95
LION,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,16.4,5.91,2090624.2
TWST,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,153.1,25.31,1587705.2
FIBK,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,39.73,27.83,883645.6
BFH,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,113.15,53.47,426699.9
BHF,,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,66.61,45.14,1061303.55
