ticker,price,score,points,sma50,sma200,wk52_high,wk52_low,volume
NVDA,220.61,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",194.72,186.42,235.74,131.26,156475125.3
GOOGL,387.66,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",336.34,293.08,402.62,163.41,28925664.7
GOOG,384.9,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",334.26,292.99,399.04,164.75,19285921.3
AAPL,298.97,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",267.57,259.59,300.23,194.5,47526460.8
AMZN,259.34,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",238.66,229.79,274.99,198.79,45344892.45
AVGO,411.07,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",372.39,347.1,439.79,226.88,19534132.75
TSM,392.61,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",369.52,314.19,419.5,189.41,14560693.95
TSLA,404.11,7,"[1, 0, 0, 0, 1, 1, 1, 1, 1, 1]",387.15,408.41,489.88,284.7,59063328.95
WMT,134.2,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",126.77,113.94,134.2,93.47,16090490.55
LLY,1021.41,9,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",938.88,920.97,1106.19,621.26,3448286.7
MU,698.74,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",498.6,312.81,803.63,93.15,50435605.75
AMD,414.05,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",288.01,226.62,458.79,110.31,46236275.55
INTC,110.8,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",72.1,45.69,129.44,19.31,162280242.25
XOM,162.55,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",154.41,128.6,170.31,98.68,16946816.6
ASML,1459.44,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1420.95,1160.41,1592.02,686.0,1724353.15
ORCL,181.46,4,"[1, 0, 0, 0, 0, 0, 1, 0, 1, 1]",165.03,207.85,325.76,136.0,24625630.95
JNJ,230.0,9,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",234.03,208.53,248.56,146.98,7575929.4
CAT,860.15,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",788.13,617.28,926.93,338.84,2562389.55
CSCO,115.38,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",87.36,76.52,118.88,61.62,25414831.75
LRCX,273.38,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",250.68,185.21,299.15,80.2,9697439.0
CVX,197.25,8,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",193.32,166.91,,,9767354.45
AMAT,406.91,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",383.94,283.13,443.62,155.75,7652723.55
UNH,389.24,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",324.45,318.88,401.16,232.89,7462838.45
BABA,135.64,6,"[1, 0, 0, 0, 1, 1, 1, 0, 1, 1]",132.0,149.29,189.34,103.83,11870376.75
GE,285.28,4,"[0, 0, 0, 0, 1, 1, 0, 1, 1, 0]",295.03,299.19,345.24,229.06,6491349.0
HSBC,88.47,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",86.19,75.41,91.65,55.7,1647448.65
MS,189.58,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",177.15,167.05,194.53,122.35,4953459.45
AZN,184.64,7,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 0]",191.56,178.4,208.62,135.08,2022290.05
GEV,1011.8,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",974.53,734.74,1149.53,449.05,2724205.75
GS,928.74,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",885.63,839.44,970.75,581.41,1726852.45
MRK,114.24,9,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",115.59,100.74,123.18,73.5,8324868.75
NVS,150.44,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",149.95,136.39,163.64,108.57,1367003.45
TXN,302.31,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",234.65,196.78,308.17,151.57,9035393.6
RY,183.53,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",171.09,158.17,184.79,123.1,1561911.15
KLAC,1740.58,7,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 0]",1665.59,1310.56,,,1093952.9
RTX,174.49,6,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 0]",189.38,179.31,212.16,130.82,6250595.1
SNDK,1383.29,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",954.66,435.11,1562.34,37.28,15504034.75
QCOM,195.61,9,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",151.49,158.27,237.53,124.07,30577195.8
ARM,223.15,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",171.94,144.83,237.3,104.55,11898341.1
C,119.97,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",120.26,108.26,132.42,71.47,11013240.35
BHP,81.87,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",76.83,63.6,90.81,45.25,2434789.8
ADI,414.31,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",360.33,291.1,432.39,207.31,3634550.4
NVO,44.28,3,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 1]",39.81,47.6,77.31,34.76,17740955.05
MUFG,19.45,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",17.62,16.59,19.73,13.29,2918441.2
TTE,92.9,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",89.26,70.83,93.6,55.47,1242919.2
NEE,90.06,8,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 0]",93.01,83.82,97.88,65.01,11124574.8
BA,215.01,3,"[0, 0, 0, 0, 0, 1, 0, 1, 1, 0]",217.52,219.63,252.15,179.12,7212837.4
TD,107.91,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",100.65,88.69,108.6,63.61,1538641.05
SAN,11.78,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",11.61,10.95,13.05,7.77,6647082.55
RIO,100.92,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",96.68,79.18,112.04,53.08,2513977.85
ANET,141.58,7,"[0, 1, 1, 1, 0, 1, 1, 1, 1, 0]",146.44,139.47,177.73,86.25,12222921.55
STX,733.35,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",554.41,342.96,834.01,103.1,4837377.65
DELL,235.26,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",193.8,147.4,260.46,106.46,5744778.4
PANW,240.13,8,"[1, 1, 1, 0, 0, 1, 1, 1, 1, 1]",178.75,186.34,247.55,141.67,7708122.7
WDC,455.8,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",366.69,215.3,515.83,49.28,8224116.05
GILD,130.5,6,"[0, 0, 1, 1, 1, 1, 0, 1, 1, 0]",136.69,127.01,154.92,103.92,6242744.25
GLW,175.83,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",159.01,107.77,208.28,47.27,15047932.4
BUD,81.91,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",73.26,66.27,81.91,56.26,1899755.25
APP,476.9,5,"[1, 0, 0, 0, 0, 1, 1, 0, 1, 1]",447.06,532.59,733.6,324.7,4701514.8
